turn,pct_explored,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
37,,22.68041237113402,20.168067226890756,0.0,0.0
38,,22.68041237113402,20.168067226890756,0.0,0.0
39,,23.711340206185564,21.008403361344538,1.0,1.0
40,,24.742268041237114,21.84873949579832,1.0,1.0
41,,25.773195876288657,22.689075630252102,1.0,1.0
42,,26.804123711340207,23.52941176470588,1.0,1.0
43,,27.835051546391753,24.369747899159663,1.0,1.0
44,,28.865979381443296,25.210084033613445,1.0,1.0
45,,29.896907216494846,26.05042016806723,1.0,1.0
46,,29.896907216494846,26.05042016806723,0.0,0.0
47,,30.927835051546392,26.89075630252101,1.0,1.0
48,,31.958762886597935,27.73109243697479,1.0,1.0
49,,32.98969072164948,28.57142857142857,1.0,1.0
50,,34.02061855670103,29.411764705882355,1.0,1.0
51,,34.02061855670103,30.252100840336134,0.0,1.0
52,,34.02061855670103,30.252100840336134,0.0,0.0
53,,34.02061855670103,30.252100840336134,0.0,0.0
54,,34.02061855670103,31.092436974789916,0.0,1.0
55,,34.02061855670103,31.092436974789916,0.0,0.0
56,,35.051546391752574,31.932773109243694,1.0,1.0
57,,36.08247422680412,32.773109243697476,1.0,1.0
58,,37.11340206185567,33.61344537815126,1.0,1.0
59,,38.144329896907216,34.45378151260504,1.0,1.0
60,,39.175257731958766,35.294117647058826,1.0,1.0
61,,40.20618556701031,36.134453781512605,1.0,1.0
62,,41.23711340206185,36.97478991596639,1.0,1.0
63,,42.2680412371134,37.81512605042017,1.0,1.0
64,,43.29896907216495,38.655462184873954,1.0,1.0
65,,44.329896907216494,39.49579831932773,1.0,1.0
66,,45.36082474226804,40.33613445378151,1.0,1.0
67,,45.36082474226804,41.17647058823529,0.0,1.0
68,,45.36082474226804,41.17647058823529,0.0,0.0
69,,45.36082474226804,41.17647058823529,0.0,0.0
70,,46.391752577319586,42.016806722689076,1.0,1.0
71,,46.391752577319586,42.857142857142854,0.0,1.0
72,,46.391752577319586,42.857142857142854,0.0,0.0
73,,46.391752577319586,42.857142857142854,0.0,0.0
74,,46.391752577319586,43.69747899159664,0.0,1.0
75,,47.42268041237113,44.537815126050425,1.0,1.0
76,,47.42268041237113,45.378151260504204,0.0,1.0
77,,47.42268041237113,45.378151260504204,0.0,0.0
78,,47.42268041237113,45.378151260504204,0.0,0.0
79,,47.42268041237113,45.378151260504204,0.0,0.0
80,,48.45360824742268,46.21848739495798,1.0,1.0
81,,48.45360824742268,47.05882352941176,0.0,1.0
82,,49.48453608247423,47.89915966386555,1.0,1.0
83,,50.51546391752577,48.739495798319325,1.0,1.0
84,,51.546391752577314,49.57983193277311,1.0,1.0
85,,52.57731958762887,50.42016806722689,1.0,1.0
86,,52.57731958762887,50.42016806722689,0.0,0.0
87,,53.608247422680414,51.26050420168067,1.0,1.0
88,,53.608247422680414,52.10084033613446,0.0,1.0
89,,53.608247422680414,52.10084033613446,0.0,0.0
90,,53.608247422680414,52.10084033613446,0.0,0.0
91,,53.608247422680414,52.10084033613446,0.0,0.0
92,,53.608247422680414,52.10084033613446,0.0,0.0
93,,53.608247422680414,52.10084033613446,0.0,0.0
94,,54.63917525773196,52.10084033613446,1.0,0.0
95,,54.63917525773196,52.10084033613446,0.0,0.0
96,,54.63917525773196,52.10084033613446,0.0,0.0
97,,54.63917525773196,52.10084033613446,0.0,0.0
98,,54.63917525773196,52.10084033613446,0.0,0.0
99,,54.63917525773196,52.10084033613446,0.0,0.0
100,,54.63917525773196,52.10084033613446,0.0,0.0
101,,54.63917525773196,52.10084033613446,0.0,0.0
102,,54.63917525773196,52.10084033613446,0.0,0.0
103,,54.63917525773196,52.10084033613446,0.0,0.0
104,,54.63917525773196,52.10084033613446,0.0,0.0
105,,54.63917525773196,52.10084033613446,0.0,0.0
106,,54.63917525773196,52.10084033613446,0.0,0.0
107,,54.63917525773196,52.10084033613446,0.0,0.0
108,,54.63917525773196,52.10084033613446,0.0,0.0
109,,54.63917525773196,52.10084033613446,0.0,0.0
110,,54.63917525773196,52.10084033613446,0.0,0.0
111,,54.63917525773196,52.10084033613446,0.0,0.0
112,,54.63917525773196,52.10084033613446,0.0,0.0
113,,54.63917525773196,52.10084033613446,0.0,0.0
114,,54.63917525773196,52.10084033613446,0.0,0.0
115,,54.63917525773196,52.10084033613446,0.0,0.0
116,,54.63917525773196,52.10084033613446,0.0,0.0
117,,54.63917525773196,52.10084033613446,0.0,0.0
118,,54.63917525773196,52.10084033613446,0.0,0.0
119,,54.63917525773196,52.10084033613446,0.0,0.0
120,,54.63917525773196,52.10084033613446,0.0,0.0
121,,54.63917525773196,52.10084033613446,0.0,0.0
122,,54.63917525773196,52.10084033613446,0.0,0.0
123,,54.63917525773196,52.10084033613446,0.0,0.0
124,,54.63917525773196,52.10084033613446,0.0,0.0
125,,54.63917525773196,52.10084033613446,0.0,0.0
126,,54.63917525773196,52.10084033613446,0.0,0.0
127,,54.63917525773196,52.10084033613446,0.0,0.0
128,,54.63917525773196,52.10084033613446,0.0,0.0
129,,54.63917525773196,52.10084033613446,0.0,0.0
130,,54.63917525773196,52.10084033613446,0.0,0.0
131,,54.63917525773196,52.10084033613446,0.0,0.0
132,,54.63917525773196,52.10084033613446,0.0,0.0
133,,54.63917525773196,52.10084033613446,0.0,0.0
134,,54.63917525773196,52.10084033613446,0.0,0.0
135,,54.63917525773196,52.10084033613446,0.0,0.0
136,,54.63917525773196,52.10084033613446,0.0,0.0
